id,name,ingredient,image,main
425574,五彩早餐饼,鸡蛋、火腿肠、胡萝卜、面粉、盐、玉米油。,https://i8.meishichina.com/attachment/recipe/2018/11/04/2018110415412970605688268096.jpg?x-oss-process=style/f320x240,main
425696,黄金炸馒头片,馒头、鸡蛋、植物油、清水、盐。,https://i8.meishichina.com/attachment/recipe/2018/11/04/2018110415413452006977610709.jpg?x-oss-process=style/f320x240,main
424446,彩椒肉丝炒面,肉丝、黄彩椒、豆芽、自制面条、红彩椒、淀粉、生抽、料酒、油、盐。,https://i8.meishichina.com/attachment/recipe/2018/10/27/2018102715406168809106811478694.jpg?x-oss-process=style/f320x240,main
425611,鲜肉馄饨,猪肉、馄饨皮、香菇、大葱、姜末、香油、橄榄油、盐、蚝油、生抽、鸡蛋、香菜、虾皮、紫菜。,https://i8.meishichina.com/attachment/recipe/2018/11/04/20181104154131205013910274398.jpg?x-oss-process=style/f320x240,main
425656,双椒鸡捞面,三黄鸡、细面条、蒜粒、青椒、小米椒、盐、酱油、青花椒、鸡精、香油、料酒、姜粒、味精。,https://i8.meishichina.com/attachment/recipe/2018/11/04/2018110415413262265322776968441.jpg?x-oss-process=style/f320x240,main
425648,平菇鸡蛋炸酱面,甜面酱、平菇、鸡蛋、黄瓜、宽挂面、酱油、葱、大料、白糖。,https://i8.meishichina.com/attachment/recipe/2018/11/04/20181104154132283283341377703.jpg?x-oss-process=style/f320x240,main
425643,海鲜韭菜水饺,面粉、麻蛤、扇贝、鲜虾、猪肉馅、鸡蛋、韭菜、白菜、盐、味精、酱油、葱、姜、蚝油、香油。,https://i8.meishichina.com/attachment/recipe/2018/11/04/201811041541321571539108377703.jpg?x-oss-process=style/f320x240,main
425636,葱香南瓜饼,南瓜、葱、虾皮、五香粉、面粉、盐、味精、香油。,https://i8.meishichina.com/attachment/recipe/2018/11/04/20181104154131926703633377703.jpg?x-oss-process=style/f320x240,main
425592,手擀面,面粉、猪瘦肉、白蘑菇、葱花、盐、面碱、海鲜酱油、食用油。,https://i8.meishichina.com/attachment/recipe/2018/11/04/20181104154130687068711154138.jpg?x-oss-process=style/f320x240,main
425633,麻蛤扇贝打卤面,面粉、麻蛤、扇贝、五花肉、鸡蛋、木耳、黄花菜、菠菜、黄瓜、白菜、盐、鸡精、酱油、蚝油、葱、姜、大料、淀粉、香油、料酒、甜面酱。,https://i8.meishichina.com/attachment/recipe/2018/11/04/20181104154131785478429377703.jpg?x-oss-process=style/f320x240,main
